,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/gdl,1,1,1,1,1,1
main/gdnsd,1,1,1,1,1,1
main/geeqie,1,1,1,1,1,1
main/gegl,1,1,1,1,1,1
main/gengetopt,1,1,1,1,1,1
main/geoip,1,1,1,1,1,1
main/gettext,1,1,1,1,1,1
main/ghi,1,1,1,1,1,1
main/ghostscript,1,1,1,1,1,1
main/ghostscript-fonts,1,1,1,1,1,1
main/giblib,1,1,1,1,1,1
main/giflib,1,1,1,1,1,1
main/gigolo,1,1,1,1,1,1
main/gimp,1,1,1,1,1,1
main/git,1,1,1,1,1,1
main/gitolite,1,1,1,1,1,1
main/glade,1,1,1,1,1,1
main/glade3,1,1,1,1,1,1
main/glamor-egl,1,1,1,1,1,1
main/glew,1,1,1,1,1,1
main/glfw,1,1,1,1,1,1
main/glib,1,1,1,1,1,1
main/glib-networking,1,1,1,1,1,1
main/glibmm,1,1,1,1,1,1
main/glm,1,1,1,1,1,1
main/glproto,1,1,1,1,1,1
main/glu,1,1,1,1,1,1
main/gmime,1,1,1,1,1,1
main/gmp,1,1,1,1,1,1
main/gnats,1,1,1,1,1,1
main/gnokii,1,1,1,1,1,1
main/gnome-common,1,1,1,1,1,1
main/gnome-doc-utils,1,1,1,1,1,1
main/gnome-mime-data,1,1,1,1,1,1
main/gnome-vfs,1,1,1,1,1,1
main/gnu-efi,1,1,0,1,0,0
main/gnuchess,1,1,1,1,1,1
main/gnumeric,1,1,1,1,1,1
main/gnupg,1,1,1,1,1,1
main/gnupg1,1,1,1,1,1,1
main/gnutls,1,1,1,1,1,1
main/goaccess,1,1,1,1,1,1
main/gobject-introspection,1,1,1,1,1,1
main/goffice,1,1,1,1,1,1
main/gparted,1,1,1,1,1,1
main/gperf,1,1,1,1,1,1
main/gpgme,1,1,1,1,1,1
main/gphoto2,1,1,1,1,1,1
main/gpicview,1,1,1,1,1,1
main/gpsd,1,1,1,1,1,1
main/gptfdisk,1,1,1,1,1,1
main/gradm,1,1,1,1,1,1
main/graphite2,1,1,1,1,1,1
main/graphviz,1,1,1,1,1,1
main/grep,1,1,1,1,1,1
main/groff,1,1,1,1,1,1
main/gross,1,1,1,1,1,1
main/grub,1,1,0,1,1,0
main/gsl,1,1,1,1,1,1
main/gsm,1,1,1,1,1,1
main/gst-ffmpeg0.10,1,1,0,1,1,1
main/gst-libav1,1,1,0,1,1,1
main/gst-plugins-bad0.10,1,1,1,1,1,1
main/gst-plugins-bad1,1,1,1,1,1,1
main/gst-plugins-base0.10,1,1,1,1,1,1
main/gst-plugins-base1,1,1,1,1,1,1
main/gst-plugins-good0.10,1,1,1,1,1,1
main/gst-plugins-good1,1,1,1,1,1,1
main/gst-plugins-ugly0.10,1,1,1,1,1,1
main/gst-plugins-ugly1,1,1,1,1,1,1
main/gstreamer0.10,1,1,1,1,1,1
main/gstreamer1,1,1,1,1,1,1
main/gtest,1,1,1,1,1,1
main/gtk+,1,1,1,1,1,1
main/gtk+2.0,1,1,1,1,1,1
main/gtk+3.0,1,1,1,1,1,1
main/gtk-doc,1,1,1,1,1,1
main/gtk-engines,1,1,1,1,1,1
main/gtk-murrine-engine,1,1,1,1,1,1
main/gtk-xfce-engine,1,1,1,1,1,1
main/gtkglext,1,1,1,1,1,1
main/gtkman,1,1,1,1,1,1
main/gtkmm,1,1,1,1,1,1
main/gtksourceview2,1,1,1,1,1,1
main/gtkspell,1,1,1,1,1,1
main/gucharmap,1,1,1,1,1,1
main/guile,1,1,1,1,1,1
main/gummiboot,1,1,0,1,0,0
main/gvfs,1,1,1,1,1,1
main/gvpe,1,1,1,1,1,1
main/gzip,1,1,1,1,1,1
main/halberd,1,1,1,1,1,1
main/haproxy,1,1,1,1,1,1
main/harfbuzz,1,1,1,1,1,1
main/haserl,1,1,1,1,1,1
main/haveged,1,1,1,1,1,1
main/hdparm,1,1,1,1,1,1
main/heimdal,1,1,1,1,1,1
main/help2man,1,1,1,1,1,1
main/herbstluftwm,1,1,1,1,1,1
main/hexchat,1,1,1,1,1,1
main/hicolor-icon-theme,1,1,1,1,1,1
main/highlight,1,1,1,1,1,1
main/hiredis,1,1,1,1,1,1
main/hostapd,1,1,1,1,1,1
main/htop,1,1,1,1,1,1
main/http-parser,1,1,1,1,1,1
main/hunspell,1,1,1,1,1,1
main/hunspell-en,1,1,1,1,1,1
main/hunspell-pt,1,1,1,1,1,1
main/hunspell-pt-br,1,1,1,1,1,1
main/hvtools,1,1,1,1,1,1
main/hwdata,1,1,1,1,1,1
main/hydrogen,1,1,1,1,1,1
main/hylafax,1,1,1,1,1,1
main/hypermail,1,1,1,1,1,1
main/i3lock,1,1,1,1,1,1
main/iaxmodem,1,1,1,1,1,1
main/iceauth,1,1,1,1,1,1
main/icecast,1,1,1,1,1,1
main/icon-naming-utils,1,1,1,1,1,1
main/icu,1,1,1,1,1,1
main/iftop,1,1,1,1,1,1
main/ifupdown,1,1,1,1,1,1
main/igmpproxy,1,1,1,1,1,1
main/ilbc,1,1,1,1,1,1
main/imagemagick,1,1,1,1,1,1
main/imake,1,1,1,1,1,1
main/imap,1,1,1,1,1,1
main/imlib2,1,1,1,1,1,1
main/indent,1,1,1,1,1,1
main/iniparser,1,1,1,1,1,1
main/inotify-tools,1,1,1,1,1,1
main/inputproto,1,1,1,1,1,1
main/installkernel,1,1,1,1,1,1
main/intltool,1,1,1,1,1,1
main/iperf,1,1,1,1,1,1
main/iperf3,1,1,1,1,1,1
